title,link,source,direct_link
How to Navigate the Era of Trump,"=HYPERLINK(""https://www.theatlantic.com/politics/archive/2024/12/navigate-trump-era-guide/681020/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/politics/archive/2024/12/navigate-trump-era-guide/681020/?utm_source=feed
The Push for Puberty Blockers Got Ahead of the Research,"=HYPERLINK(""https://www.theatlantic.com/ideas/archive/2024/12/why-supreme-court-puberty-blockers/680998/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/ideas/archive/2024/12/why-supreme-court-puberty-blockers/680998/?utm_source=feed
Has Your Cat Closed Its Rings Today?,"=HYPERLINK(""https://www.theatlantic.com/health/archive/2024/12/cat-pet-fitness-tracker-quantified-anxiety/681012/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/health/archive/2024/12/cat-pet-fitness-tracker-quantified-anxiety/681012/?utm_source=feed
Supreme Court agrees to review TikTok ban-or-sale law,"=HYPERLINK(""https://www.npr.org/2024/12/18/nx-s1-5233027/supreme-court-to-review-tiktok-ban"")",NPR,https://www.npr.org/2024/12/18/nx-s1-5233027/supreme-court-to-review-tiktok-ban
Supreme Court takes up South Carolina's effort to defund Planned Parenthood,"=HYPERLINK(""https://www.npr.org/2024/12/18/g-s1-28920/supreme-court-south-carolina-planned-parenthood"")",NPR,https://www.npr.org/2024/12/18/g-s1-28920/supreme-court-south-carolina-planned-parenthood
The bald eagle isn't actually America's national bird — but that's poised to change,"=HYPERLINK(""https://www.npr.org/2024/12/18/nx-s1-5231827/bald-eagles-national-bird"")",NPR,https://www.npr.org/2024/12/18/nx-s1-5231827/bald-eagles-national-bird
Viewers watched 20.35 billion hours on Twitch in 2024. 'Stream Big' explores why,"=HYPERLINK(""https://www.npr.org/2024/12/18/nx-s1-5230658/twitch-recap-2024"")",NPR,https://www.npr.org/2024/12/18/nx-s1-5230658/twitch-recap-2024
Scientists know our bodies are full of microplastics. What are they doing to us?,"=HYPERLINK(""https://www.npr.org/sections/shots-health-news/2024/12/18/nx-s1-5227172/microplastics-plastic-nanoparticles-health-pfas"")",NPR,https://www.npr.org/sections/shots-health-news/2024/12/18/nx-s1-5227172/microplastics-plastic-nanoparticles-health-pfas
You don't look a day over 4.35 billion! Here's the moon's anti-aging secret,"=HYPERLINK(""https://www.npr.org/2024/12/18/nx-s1-5227247/you-dont-look-a-day-over-4-35-billion-heres-the-moons-anti-aging-secret"")",NPR,https://www.npr.org/2024/12/18/nx-s1-5227247/you-dont-look-a-day-over-4-35-billion-heres-the-moons-anti-aging-secret
"These were the top animal stories on NPR in 2024, including a boy's pregnant octopus","=HYPERLINK(""https://www.npr.org/2024/12/18/nx-s1-5226617/top-animal-stories-npr-2024"")",NPR,https://www.npr.org/2024/12/18/nx-s1-5226617/top-animal-stories-npr-2024
