Headline,Source,URL
Hospitals write off £112m in foreign patient bills,BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/c77j1x0n54po"", ""https://www.bbc.com/news/articles/c77j1x0n54po"")"
Criminology student guilty of murdering woman in beach stabbings,BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/cg520q1p68do"", ""https://www.bbc.com/news/articles/cg520q1p68do"")"
"Children as young as 10 accessing extremist material, say counter-terror police",BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/cqjzy590zdno"", ""https://www.bbc.com/news/articles/cqjzy590zdno"")"
"Blind people don't need inspiring, says Chris McCausland after Strictly win",BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/clyvrxpe2xdo"", ""https://www.bbc.com/news/articles/clyvrxpe2xdo"")"
Hundreds of driving examiners to be recruited to cut wait times,BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/cwyd9e8dzr4o"", ""https://www.bbc.com/news/articles/cwyd9e8dzr4o"")"
TikTok gets permission to challenge potential US ban at Supreme Court,BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/cn4xw9lx02xo"", ""https://www.bbc.com/news/articles/cn4xw9lx02xo"")"
100mph laughing gas driver jailed for killing friends,BBC News,"=HYPERLINK(""https://www.bbc.com/news/articles/c99xmzey88vo"", ""https://www.bbc.com/news/articles/c99xmzey88vo"")"
Newscast,BBC News,"=HYPERLINK(""https://www.bbc.co.uk/sounds/play/p0kcx255"", ""https://www.bbc.co.uk/sounds/play/p0kcx255"")"
Why has ABC News given Donald Trump $15 million?,BBC News,"=HYPERLINK(""https://www.bbc.co.uk/sounds/play/p0kcx0kk"", ""https://www.bbc.co.uk/sounds/play/p0kcx0kk"")"
'He has rebuilt Arsenal' - now Arteta must clear 'hardest hurdle',BBC News,"=HYPERLINK(""https://www.bbc.com/sport/football/articles/c0lg6600peno"", ""https://www.bbc.com/sport/football/articles/c0lg6600peno"")"
Kist loses despite nine-darter & spectator wins £60k,BBC News,"=HYPERLINK(""https://www.bbc.com/sport/darts/articles/cz9g3928l2lo"", ""https://www.bbc.com/sport/darts/articles/cz9g3928l2lo"")"
'You have to ride the wave' - Russo resurgence continues,BBC News,"=HYPERLINK(""https://www.bbc.com/sport/football/articles/cm2vd7zpl4ko"", ""https://www.bbc.com/sport/football/articles/cm2vd7zpl4ko"")"
Final-day carnage as Australia draw with India,BBC News,"=HYPERLINK(""https://www.bbc.com/sport/cricket/videos/cpw2ylr9zd5o"", ""https://www.bbc.com/sport/cricket/videos/cpw2ylr9zd5o"")"
RFU to review executive pay as grassroots rebellion grows,BBC News,"=HYPERLINK(""https://www.bbc.com/sport/rugby-union/articles/cgrwyn9l0jjo"", ""https://www.bbc.com/sport/rugby-union/articles/cgrwyn9l0jjo"")"
‘We want to pay it forward’: Funding Societies raises $25M to boost capital for SMEs in Southeast Asia,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/softbank-backed-sme-lender-funding-societies-raises-25m/"", ""https://techcrunch.com/2024/12/18/softbank-backed-sme-lender-funding-societies-raises-25m/"")"
Exclusive: Google’s Gemini is forcing contractors to rate AI responses outside their expertise,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/exclusive-googles-gemini-is-forcing-contractors-to-rate-ai-responses-outside-their-expertise/"", ""https://techcrunch.com/2024/12/18/exclusive-googles-gemini-is-forcing-contractors-to-rate-ai-responses-outside-their-expertise/"")"
Canoo furloughs workers and idles factory as it scrapes for cash,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/canoo-furloughs-workers-and-idles-factory-as-it-scrapes-for-cash/"", ""https://techcrunch.com/2024/12/18/canoo-furloughs-workers-and-idles-factory-as-it-scrapes-for-cash/"")"
New Anthropic study shows AI really doesn’t want to be forced to change its views,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/new-anthropic-study-shows-ai-really-doesnt-want-to-be-forced-to-change-its-views/"", ""https://techcrunch.com/2024/12/18/new-anthropic-study-shows-ai-really-doesnt-want-to-be-forced-to-change-its-views/"")"
Menlo Ventures and Anthropic have picked the first 18 startups for their $100M fund,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/menlo-ventures-and-anthropic-have-picked-the-first-18-startups-for-their-100m-fund/"", ""https://techcrunch.com/2024/12/18/menlo-ventures-and-anthropic-have-picked-the-first-18-startups-for-their-100m-fund/"")"
Amazon Fire TV introduces ‘Dual Audio’ feature for simultaneous listening via hearing aids and TV speakers,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/amazon-fire-tv-introduces-dual-audio-feature-for-simultaneous-listening-via-hearing-aids-and-tv-speakers/"", ""https://techcrunch.com/2024/12/18/amazon-fire-tv-introduces-dual-audio-feature-for-simultaneous-listening-via-hearing-aids-and-tv-speakers/"")"
"Rivian EVs finally get YouTube, Google Cast, and SiriusXM",TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/rivian-evs-finally-get-youtube-google-cast-and-siriusxm/"", ""https://techcrunch.com/2024/12/18/rivian-evs-finally-get-youtube-google-cast-and-siriusxm/"")"
"California can ban new gas cars starting in 2035, EPA says",TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/california-can-ban-new-gas-cars-starting-in-2035-epa-says/"", ""https://techcrunch.com/2024/12/18/california-can-ban-new-gas-cars-starting-in-2035-epa-says/"")"
"With 25M users, Bluesky gets a $1M fund to take on social media and AI",TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/with-25m-users-bluesky-gets-a-1m-fund-to-take-on-social-media-and-ai/"", ""https://techcrunch.com/2024/12/18/with-25m-users-bluesky-gets-a-1m-fund-to-take-on-social-media-and-ai/"")"
Tracker firm Hapn spilling names of thousands of GPS tracking customers,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/tracker-firm-hapn-spilling-names-of-thousands-of-gps-tracking-customers/"", ""https://techcrunch.com/2024/12/18/tracker-firm-hapn-spilling-names-of-thousands-of-gps-tracking-customers/"")"
Instagram Threads adds ‘Use media’ feature for resharing photos and videos,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/instagram-threads-adds-use-media-feature-for-resharing-photos-and-videos/"", ""https://techcrunch.com/2024/12/18/instagram-threads-adds-use-media-feature-for-resharing-photos-and-videos/"")"
Perplexity acquires Carbon to connect AI search to your work files,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/perplexity-acquires-carbon-to-connect-ai-search-to-your-work-files/"", ""https://techcrunch.com/2024/12/18/perplexity-acquires-carbon-to-connect-ai-search-to-your-work-files/"")"
"App downloads decline 2.3% in 2024, but consumer spending grows to $127B",TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/app-downloads-decline-2-3-in-2024-but-consumer-spending-grows-to-127b/"", ""https://techcrunch.com/2024/12/18/app-downloads-decline-2-3-in-2024-but-consumer-spending-grows-to-127b/"")"
Wing and DoorDash launch drone deliveries in Dallas-Fort Worth,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/wing-and-doordash-launch-drone-deliveries-in-dallas-fort-worth/"", ""https://techcrunch.com/2024/12/18/wing-and-doordash-launch-drone-deliveries-in-dallas-fort-worth/"")"
Microsoft bought nearly 500K Nvidia Hopper chips this year,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/microsoft-bought-nearly-500000-nvidia-hopper-chips-this-year/"", ""https://techcrunch.com/2024/12/18/microsoft-bought-nearly-500000-nvidia-hopper-chips-this-year/"")"
OpenAI brings ChatGPT to your landline,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/openai-brings-chatgpt-to-your-landline/"", ""https://techcrunch.com/2024/12/18/openai-brings-chatgpt-to-your-landline/"")"
Who wants ‘Her’-like AI that gets stuff wrong?,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/who-wants-her-like-ai-that-gets-stuff-wrong/"", ""https://techcrunch.com/2024/12/18/who-wants-her-like-ai-that-gets-stuff-wrong/"")"
GitHub launches a free version of its Copilot,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/github-launches-a-free-version-of-its-copilot/"", ""https://techcrunch.com/2024/12/18/github-launches-a-free-version-of-its-copilot/"")"
AI startup Odyssey’s new tool can generate photorealistic 3D worlds,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/ai-startup-odyssees-new-tool-can-generate-photorealistic-3d-worlds/"", ""https://techcrunch.com/2024/12/18/ai-startup-odyssees-new-tool-can-generate-photorealistic-3d-worlds/"")"
SpaceX gets green light for 7th Starship mission,TechCrunch,"=HYPERLINK(""https://techcrunch.com/2024/12/18/spacex-gets-green-light-for-seventh-starship-mission/"", ""https://techcrunch.com/2024/12/18/spacex-gets-green-light-for-seventh-starship-mission/"")"
"Cody Bellinger trade grades: Yankees get 'A' for steady pivot after Juan Soto loss, Cubs win cost-cutting game - CBS Sports",CBS Sports,"=HYPERLINK("""", """")"
SpaceX launches 2 mPOWER satellites from Florida on 2nd leg of spaceflight doubleheader (video) - Space.com,Space.com,"=HYPERLINK("""", """")"
[Removed],[Removed],"=HYPERLINK("""", """")"
Luigi Mangione charged with first-degree murder in UnitedHealthcare killing - Financial Times,Financial Times,"=HYPERLINK("""", """")"
[Removed],[Removed],"=HYPERLINK("""", """")"
NASA's 2 stuck astronauts face more time in space with return delayed until at least late March - The Associated Press,Associated Press,"=HYPERLINK("""", """")"
Google’s new AI tool uses image prompts instead of text - CNN,CNN,"=HYPERLINK("""", """")"
